Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
AZK,"Aurizon Mines, Ltd.",3.64,28.4%,0.54,4.8,20.7%,6.76,0.605,0.71,Basic Industries,Precious Metals,44.7%,13.3%,27.2%,N/A
AWX,Avalon Holdings Corporation,3.76,-6.3%,N/A,N/A,N/A,-9.31,-0.717,-2.14,Public Utilities,Environmental Services,-3.6%,-9.7%,-3.2%,-8.7%
AVL,"Avalon Rare Metals, Inc.",1.37,-31.9%,2.26,N/A,N/A,0.61,-0.004,0.65,Basic Industries,Precious Metals,-22.4%,-25.0%,-26.9%,-53.4%
ASM,Avino Silver,1.80,-30.9%,N/A,N/A,N/A,-0.30,-0.037,0.08,Basic Industries,Precious Metals,-79.5%,-14.6%,-12.4%,-17.1%
BONE,"Bacterin International Holdings, Inc.",1.22,-125.2%,N/A,N/A,N/A,-2.59,-0.220,-0.40,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-125.2%,N/A,N/A,N/A
BKR,Baker (Michael) Corporation,19.00,72.8%,0.58,6.9,14.5%,32.73,4.423,-11.49,Consumer Services,Other Consumer Services,34.5%,70.8%,86.1%,99.8%
BTN,"Ballantyne Strong, Inc",3.19,50.8%,0.83,8.6,11.6%,3.83,0.457,-0.74,Miscellaneous,Industrial Machinery/Components,119.2%,51.2%,16.7%,16.2%
BAA,BANRO CORPORATION,3.28,-15.5%,N/A,N/A,N/A,-3.48,-0.333,-0.15,Basic Industries,Precious Metals,-3.2%,-26.6%,-16.9%,-15.3%
BRN,"Barnwell Industries, Inc.",3.28,-5.7%,N/A,N/A,N/A,-21.40,-1.637,-5.03,Energy,Oil & Gas Production,-3.5%,-6.1%,-14.8%,1.7%
BXE,Bellatrix Exploration Ltd,3.98,-5.9%,N/A,N/A,N/A,-5.80,-0.361,-2.19,Energy,Oil & Gas Production,-0.6%,-6.2%,-11.0%,-5.8%
BMJ,Birks & Mayors Inc.,0.79,9.6%,N/A,19.8,5.0%,-5.30,0.619,-11.49,Consumer Services,Consumer Specialties,-5.5%,0.6%,22.1%,21.1%
BDR,"Blonder Tongue Laboratories, Inc.",1.14,-5.0%,N/A,N/A,N/A,-2.02,-0.140,-0.61,Technology,Radio And Television Broadcasting And Communications Equipment,-8.6%,8.4%,-17.6%,-2.3%
BVX,Bovie Medical Corporation,2.63,-2.5%,N/A,N/A,N/A,-0.24,-0.017,-0.07,Health Care,Medical/Dental Instruments,5.5%,-21.3%,-10.3%,16.2%
BWL.A,"Bowl America, Inc.",12.50,-1.6%,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Services-Misc. Amusement & Recreation,-4.4%,-2.7%,-3.3%,4.0%
BZC,Breeze-Eastern Corporation,8.10,65.6%,0.85,8.8,11.3%,9.57,1.262,-3.05,Capital Goods,Military/Government/Technical,60.5%,62.0%,62.9%,77.0%
BRD,Brigus Gold Corp,1.04,-5.6%,N/A,N/A,N/A,-1.65,-0.088,-0.77,Basic Industries,Precious Metals,2.3%,-20.3%,-4.8%,0.2%
BTI,"British American Tobacco  Industries, p.l.c.",105.65,73.1%,3.46,25.9,3.9%,30.56,4.723,-16.67,Consumer Non-Durables,Farming/Seeds/Milling,75.4%,75.0%,63.3%,78.7%
CAK,CAMAC Energy Inc.,0.65,-208.2%,N/A,N/A,N/A,-28.55,-2.833,-0.23,Energy,Oil & Gas Production,-16.6%,1328.3%,-1086.6%,-1057.9%
CDY,Cardero Resource Corporation,0.41,-276.2%,N/A,N/A,N/A,-17.33,-1.723,-0.10,Basic Industries,Precious Metals,-1107.5%,59.4%,-28.8%,-27.9%
CXM,"Cardium Therapeutics, Inc.",0.23,-674.0%,N/A,N/A,N/A,-0.68,-0.070,0.03,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-580.6%,-583.4%,-792.7%,-739.3%
ROX,"Castle Brands, Inc.",0.28,-386.7%,N/A,N/A,N/A,-0.82,-0.070,-0.12,Consumer Non-Durables,Beverages (Production/Distribution),-272.5%,-252.2%,-369.3%,-652.9%
CAW,"CCA Industries, Inc.",4.30,85.0%,1.40,14.1,7.1%,3.08,0.297,0.11,Consumer Non-Durables,Package Goods/Cosmetics,-12.4%,-162.1%,291.7%,222.8%
CVM,Cel-Sci Corporation,0.35,-392.3%,N/A,N/A,N/A,-0.60,-0.058,-0.02,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-589.7%,-380.2%,-208.1%,-391.2%
CCF,Chase Corporation,17.50,24.5%,1.78,13.6,7.3%,9.82,2.104,-11.21,Consumer Durables,Building Products,22.7%,17.5%,24.5%,33.3%
CQP,"Cheniere Energy Partners, LP",20.76,-4.4%,N/A,N/A,N/A,-10.57,-0.261,-7.96,Public Utilities,Oil/Gas Transmission,-9.1%,-3.6%,5.4%,-10.1%
LNG,"Cheniere Energy, Inc.",16.80,-13.9%,N/A,N/A,N/A,-25.71,-1.440,-11.31,Public Utilities,Oil/Gas Transmission,-11.9%,-10.7%,-14.4%,-18.6%
CVR,Chicago Rivet & Machine Co.,19.80,-7.5%,N/A,N/A,N/A,-24.11,-2.809,3.99,Technology,Industrial Machinery/Components,-5.3%,-5.9%,-11.0%,-7.9%
CNAM,"China Armco Metals, Inc.",0.40,-1029.0%,N/A,N/A,N/A,-238.74,-23.646,-2.28,Consumer Durables,Steel/Iron Ore,32.1%,-38.1%,-131.4%,-3978.4%
CBP,China Botanic Pharmaceutical Inc.,0.44,412.7%,0.01,0.1,1587.6%,48.44,4.831,0.14,Consumer Durables,Major Pharmaceuticals,670.0%,662.7%,368.3%,-50.3%
CHGS,"China GengSheng Minerals, Inc.",0.40,-5.9%,N/A,N/A,N/A,-3.59,-0.100,-2.59,Consumer Durables,Miscellaneous manufacturing industries,-19.1%,-37.1%,-24.8%,57.5%
CMFO,China Marine Food Group Limited,0.92,37.2%,0.21,2.6,38.8%,4.36,0.464,-0.28,Consumer Non-Durables,Packaged Foods,-35.7%,-26.8%,72.3%,138.9%
CNR,China Metro-Rural Holdings Limited,0.88,-19.8%,N/A,N/A,N/A,-3.15,-0.046,-2.70,Finance,Real Estate,-45.2%,5.6%,N/A,N/A
CPHI,"China Pharma Holdings, Inc.",0.28,93.8%,0.15,2.5,40.2%,1.81,0.204,-0.23,Consumer Durables,Major Pharmaceuticals,105.5%,138.2%,90.4%,41.4%
SHZ,"China Shen Zhou Mining & Resources, Inc.",0.35,-13.9%,N/A,N/A,N/A,-2.49,-0.222,-0.28,Basic Industries,Precious Metals,-15.7%,-18.2%,-10.4%,-11.4%
CRC,"Chromcraft Revington, Inc.",0.54,-18.6%,N/A,N/A,N/A,-13.73,-1.220,-1.53,Consumer Durables,Home Furnishings,-21.4%,-8.3%,-19.4%,-25.2%
MBA,CIBT Education Group Inc.,0.22,-24.9%,N/A,N/A,N/A,-0.43,-0.021,-0.22,Consumer Services,Other Consumer Services,-73.5%,-14.5%,42.2%,-54.0%
CKX,"CKX Lands, Inc.",13.97,N/A,N/A,N/A,N/A,N/A,N/A,2.21,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A
CGR,"Claude Resources, Inc.",0.57,N/A,N/A,N/A,N/A,N/A,N/A,0.00,Basic Industries,Precious Metals,N/A,-7.1%,-8.8%,-12.3%
CRV,"Coast Distribution System, Inc. (The)",1.80,23.9%,0.53,7.4,13.5%,3.38,0.611,-2.73,Capital Goods,Automotive Aftermarket,-17.4%,-18.5%,67.8%,63.8%
CIX,CompX International Inc.,13.12,1.1%,N/A,112.9,0.9%,-2.28,0.150,-3.77,Capital Goods,Industrial Machinery/Components,3.2%,0.8%,-2.5%,2.9%
LODE,"Comstock Mining, Inc.",2.19,-172.9%,N/A,N/A,N/A,-6.10,-0.607,-0.03,Basic Industries,Precious Metals,-228.0%,-179.6%,-128.2%,-155.9%
MCF,Contango Oil & Gas Company,40.84,18.7%,0.59,6.1,16.5%,68.75,7.074,-2.00,Energy,Oil & Gas Production,9.2%,21.8%,24.4%,19.4%
CUO,Continental Materials Corporation,11.04,-8.3%,N/A,N/A,N/A,-69.12,-5.338,-15.74,Capital Goods,Building Materials,-11.5%,-7.6%,-4.2%,-9.8%
CMT,Core Molding Technologies Inc,6.95,5.4%,4.22,17.6,5.7%,1.65,0.695,-5.30,Consumer Non-Durables,Plastic Products,10.6%,2.3%,2.2%,6.7%
CRMD,CorMedix Inc,0.72,N/A,N/A,N/A,N/A,N/A,N/A,0.06,Consumer Durables,Major Pharmaceuticals,N/A,-8071.2%,-4391.6%,N/A
COVR,Cover-All Technologies Inc.,1.08,598.9%,0.27,2.7,37.2%,4.05,0.406,-0.01,Technology,Computer Software: Prepackaged Software,337.0%,977.5%,181.5%,899.7%
CVU,"CPI Aerostructures, Inc.",9.68,-117.6%,N/A,N/A,N/A,-10.76,-0.669,-4.07,Capital Goods,Military/Government/Technical,-327.4%,-145.3%,84.9%,-82.7%
EXE,"Crexendo, Inc.",2.58,106.4%,0.26,3.3,30.5%,9.75,1.067,-0.92,Technology,EDP Services,29.2%,2.0%,70.9%,323.4%
CXZ,Crosshair Energy Corp,0.13,-41.9%,N/A,N/A,N/A,-0.69,-0.076,0.07,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),-101.2%,-19.2%,-20.2%,-27.0%
CRVP,"Crystal Rock Holdings, Inc.",0.93,21.2%,0.68,8.5,11.8%,1.37,0.292,-1.55,Consumer Non-Durables,Food Distributors,13.1%,31.1%,25.3%,15.3%
CTP,CTPartners Executive Search Inc.,4.12,18.6%,2.88,20.0,5.0%,1.43,0.270,-1.27,Technology,Diversified Commercial Services,-7.1%,66.5%,-3.7%,N/A
QBC,Cubic Energy Inc,0.26,-17.4%,N/A,N/A,N/A,-1.41,-0.077,-0.64,Energy,Oil & Gas Production,-11.5%,-27.1%,-14.1%,-16.9%
DXR,Daxor Corporation,7.76,-87.2%,N/A,N/A,N/A,-11.60,-1.311,1.51,Health Care,Medical/Dental Instruments,-198.4%,-48.6%,-105.9%,4.0%
DEJ,Dejour Energy Inc.,0.20,N/A,N/A,N/A,N/A,N/A,N/A,-0.07,Energy,Oil & Gas Production,N/A,N/A,-12.5%,-22.9%
DLA,"Delta Apparel, Inc.",14.56,2.8%,N/A,104.0,1.0%,-18.51,0.352,-22.03,Consumer Non-Durables,Apparel,-37.6%,-1.0%,33.2%,16.7%
DNN,Denison Mine Corp,1.09,-12.0%,N/A,N/A,N/A,-1.34,-0.135,0.01,Basic Industries,Precious Metals,-12.5%,-5.5%,-19.8%,-10.2%
DPW,Digital Power Corporation,0.68,23.0%,1.02,10.2,9.8%,0.67,0.073,-0.06,Capital Goods,Industrial Machinery/Components,36.1%,-30.7%,19.5%,67.2%
DSS,"Document Security Systems, Inc.",2.71,-88.9%,N/A,N/A,N/A,-2.78,-0.248,-0.30,Technology,EDP Services,-65.7%,-83.3%,-77.7%,-129.1%
ESTE,"Earthstone Energy, Inc.",14.74,-0.1%,N/A,N/A,N/A,-1.97,-0.017,-1.80,Energy,Oil & Gas Production,5.1%,-2.2%,-1.7%,-1.6%
ELMD,"Electromed, Inc.",1.75,-13.1%,N/A,N/A,N/A,-1.28,-0.077,-0.51,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-32.3%,-31.1%,24.1%,N/A
ETAK,Elephant Talk Communications Corp.,1.22,-90.7%,N/A,N/A,N/A,-1.84,-0.181,-0.03,Public Utilities,Telecommunications Equipment,-99.7%,-111.9%,-53.3%,-97.9%
ELLO,Ellomay Capital Ltd.,6.00,-1634.8%,N/A,N/A,N/A,-768.41,-76.962,1.22,Capital Goods,Industrial Machinery/Components,-28.6%,-3240.9%,N/A,-49.3%
EMAN,eMagin Corporation,3.32,25.1%,2.06,24.1,4.2%,1.61,0.121,0.40,Technology,Semiconductors,40.7%,-20.3%,87.3%,-7.3%
EOX,"Emerald Oil, Inc.",5.07,-424.7%,N/A,N/A,N/A,-165.54,-16.505,-0.49,Energy,Oil & Gas Production,-10.4%,-1336.5%,31.9%,-383.8%
MSN,Emerson Radio Corporation,1.73,297.1%,0.71,4.6,21.8%,2.43,0.130,1.13,Consumer Non-Durables,Consumer Electronics/Appliances,43.8%,736.2%,460.7%,-52.5%
EGT,Entertainment Gaming Asia Incorporated,2.03,N/A,N/A,N/A,N/A,N/A,N/A,0.04,Consumer Durables,Miscellaneous manufacturing industries,N/A,11.4%,-20.4%,-74.8%
EGI,Entree Gold Inc,0.44,-692.2%,N/A,N/A,N/A,-29.71,-2.974,0.03,Basic Industries,Precious Metals,-60.5%,-891.5%,-1046.3%,-770.6%
EVI,"EnviroStarm, Inc.",2.05,120.5%,0.98,9.7,10.3%,2.09,0.153,0.56,Consumer Services,Other Consumer Services,32.2%,141.7%,94.8%,213.2%
ERB,"ERBA Diagnostics, Inc.",0.68,-24.6%,N/A,N/A,N/A,-0.93,-0.086,-0.06,Consumer Durables,Major Pharmaceuticals,-31.0%,-22.1%,-31.5%,-13.8%
ESP,Espey Mfg. & Electronics Corp.,27.20,43.5%,1.00,10.0,10.0%,27.13,2.219,4.94,Capital Goods,Industrial Machinery/Components,67.8%,44.2%,61.2%,0.9%
EMXX,Eurasian Minerals Inc.,2.14,-237.1%,6.22,N/A,N/A,0.34,-0.021,0.56,Basic Industries,Precious Metals,-58.6%,-247.7%,-242.7%,-399.2%
EVK,"Ever-Glory International Group, Inc.",1.80,-5.3%,N/A,N/A,N/A,-6.02,-0.087,-5.15,Consumer Non-Durables,Apparel,-3.0%,-40.5%,10.1%,12.1%
EPM,"Evolution Petroleum Corporation, Inc.",8.01,7.8%,5.77,60.7,1.6%,1.39,0.131,0.08,Energy,Oil & Gas Production,26.0%,-0.2%,-6.3%,11.5%
XRA,Exeter Resource Corporation,1.26,-1395.5%,N/A,N/A,N/A,-0.01,-0.080,0.79,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),-4108.0%,-537.1%,-572.3%,-364.5%
FU,FAB Universal Corp.,3.89,-596.6%,N/A,N/A,N/A,-1.19,-0.121,0.02,Technology,Computer Software: Prepackaged Software,-368.5%,-548.7%,-632.2%,-836.9%
FPP,FieldPoint Petroleum Corporation,3.85,3.8%,572.98,39.6,2.5%,0.01,0.130,-1.29,Energy,Oil & Gas Production,7.8%,-1.1%,-1.6%,10.1%
BDL,"Flanigan&#39;s Enterprises, Inc.",7.15,5.6%,0.88,9.3,10.8%,8.10,1.346,-5.36,Consumer Services,Restaurants,1.9%,11.3%,5.3%,3.7%
FSI,Flexible Solutions International Inc.,1.23,-2.2%,N/A,N/A,N/A,-0.45,-0.020,-0.26,Basic Industries,Major Chemicals,-7.1%,9.3%,2.4%,-13.1%
FFI,"Fortune Diversified Industries, Inc.",0.19,56.1%,N/A,28.6,3.5%,-1.45,0.088,-2.34,Consumer Services,Telecommunications Equipment,56.4%,171.9%,6.7%,-10.8%
FSP,Franklin Street Properties Corp.,11.73,N/A,N/A,N/A,N/A,N/A,N/A,-5.58,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
FOH,Frederick&#39;s of Hollywood Group,0.31,-19.5%,N/A,N/A,N/A,-2.53,-0.134,-1.19,Consumer Non-Durables,Apparel,-34.4%,-46.9%,-3.7%,7.2%
FRD,Friedman Industries Inc.,9.81,22.5%,0.83,8.3,12.0%,11.88,1.256,-0.67,Capital Goods,Steel/Iron Ore,22.9%,-18.1%,2.4%,82.7%
FRS,"Frisch&#39;s Restaurants, Inc.",18.89,-0.2%,N/A,N/A,N/A,-2.74,-0.100,-1.74,Consumer Services,Restaurants,-2.2%,0.8%,0.9%,-0.4%
FLL,"Full House Resorts, Inc.",3.18,119.9%,0.10,1.4,71.1%,30.63,3.194,-1.31,Consumer Services,Hotels/Resorts,202.1%,161.2%,99.0%,17.4%
EGAS,Gas Natural Inc.,9.48,0.5%,N/A,199.8,0.5%,-7.56,0.090,-8.46,Public Utilities,Oil/Gas Transmission,5.9%,3.6%,14.4%,-21.7%
GSX,GASCO ENERGY INC,0.11,-6.9%,N/A,N/A,N/A,-1.50,-0.125,-0.25,Energy,Oil & Gas Production,-10.1%,-8.9%,-4.8%,-3.6%
GST,Gastar Exploration,0.99,-2.1%,N/A,N/A,N/A,-3.37,-0.190,-1.47,Energy,Oil & Gas Production,-8.0%,-11.5%,8.5%,2.6%
JOB,"General Employment Enterprises, Inc.",0.51,-69.4%,N/A,N/A,N/A,-1.42,-0.112,-0.30,Technology,Diversified Commercial Services,-78.7%,-63.8%,-84.7%,-50.4%
GMO,"General Moly, Inc",3.69,N/A,N/A,N/A,N/A,N/A,N/A,0.12,Basic Industries,Precious Metals,N/A,N/A,N/A,N/A
GGR,GeoGlobal Resources Inc.,0.07,-18.0%,N/A,N/A,N/A,-1.15,-0.098,-0.17,Energy,Oil & Gas Production,-16.4%,-18.3%,-16.0%,-21.3%
GOK,"Geokinetics, Inc.",0.30,8.7%,N/A,15.2,6.6%,-10.31,2.045,-30.76,Energy,Oil & Gas Production,3.9%,2.3%,18.4%,10.3%
GPR,GeoPetro Resources Co,0.07,-13.1%,N/A,N/A,N/A,-2.06,-0.188,-0.18,Energy,Oil & Gas Production,-16.4%,-14.9%,-16.9%,-4.1%
GIG,"GigOptix, Inc.",2.01,-102.9%,N/A,N/A,N/A,-5.84,-0.597,0.13,Technology,Semiconductors,-59.2%,-54.4%,-104.3%,-193.6%
GSB,"GlobalSCAPE, Inc.",1.49,126.5%,1.39,12.2,8.2%,1.07,0.191,-0.84,Technology,Computer Software: Prepackaged Software,107.5%,118.8%,153.0%,N/A
GLOW,"Glowpoint, Inc.",1.95,-13.2%,N/A,N/A,N/A,-1.22,-0.075,-0.47,Public Utilities,Telecommunications Equipment,-4.6%,-19.7%,-9.1%,-19.5%
GORO,Gold Resource Corporation,16.16,-2040.4%,N/A,N/A,N/A,-46.34,-4.676,0.42,Basic Industries,Precious Metals,518.6%,-1012.6%,-3670.4%,-3997.2%
GSV,Gold Standard Ventures Corporation,1.23,-40.1%,N/A,N/A,N/A,-0.74,-0.082,0.08,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),-40.1%,N/A,-13.2%,-13.2%
AUMN,Golden Minerals Company,4.12,-247.6%,N/A,N/A,N/A,-168.42,-16.752,-0.91,Basic Industries,Precious Metals,-618.0%,-324.4%,-22.8%,-25.0%
GSS,"Golden Star Resources, Ltd",1.79,-1.6%,N/A,N/A,N/A,-1.68,-0.064,-1.04,Basic Industries,Precious Metals,-6.0%,5.7%,0.8%,-6.8%
GV,Goldfield Corporation (The),1.86,1.2%,N/A,126.0,0.8%,-0.14,0.017,-0.31,Basic Industries,Water Supply,-6.0%,2.9%,1.2%,6.9%
GRC,Gorman-Rupp Company (The),27.72,14.1%,2.28,20.3,4.9%,12.18,1.516,-2.99,Capital Goods,Fluid Controls,6.2%,9.7%,22.9%,17.5%
GHM,Graham Corporation,18.40,37.6%,1.29,13.1,7.6%,14.23,1.339,0.83,Technology,Industrial Machinery/Components,16.9%,-35.5%,106.6%,62.3%
GTE,Gran Tierra Energy Inc.,5.60,55.8%,0.17,1.8,56.3%,33.24,3.361,-0.37,Energy,Oil & Gas Production,33.5%,19.3%,13.5%,156.8%
GPL,Great Panther Silver Limited,1.68,7.6%,3.07,43.6,2.3%,0.55,0.034,0.21,Basic Industries,Precious Metals,39.0%,23.0%,-2.3%,-29.2%
GRH,GreenHunter Energy Inc,1.83,-36.2%,N/A,N/A,N/A,-3.60,-0.250,-1.10,Basic Industries,Major Chemicals,-17.2%,-19.5%,-9.5%,-98.6%
GVP,"GSE Systems, Inc.",1.88,35.7%,1.54,16.5,6.1%,1.22,0.101,0.21,Technology,Computer Software: Prepackaged Software,13.9%,54.9%,21.1%,52.8%
HWG,Hallwood Group Incorporated,9.00,43.0%,0.07,1.6,63.1%,122.63,13.502,-12.39,Basic Industries,Textiles,-27.8%,65.0%,37.3%,97.5%
HEB,"Hemispherx BioPharma, Inc.",0.79,-153.9%,N/A,N/A,N/A,-0.83,-0.100,0.16,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-137.5%,-180.1%,-149.3%,-148.7%
HMG,"HMG/Courtland Properties, Inc.",5.62,N/A,N/A,N/A,N/A,N/A,N/A,-15.54,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
HH,"Hooper Holmes, Inc.",0.41,-0.2%,9.19,N/A,N/A,0.04,-0.002,0.06,Health Care,Hospital/Nursing Management,-8.2%,10.9%,5.5%,-9.3%
HUSA,Houston American Energy Corporation,0.57,-5.8%,N/A,N/A,N/A,-0.04,-0.028,0.24,Energy,Oil & Gas Production,-60.9%,53.9%,-16.2%,0.0%
IBIO,"iBio, Inc.",0.72,N/A,N/A,N/A,N/A,N/A,N/A,0.04,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A
IEC,IEC Electronics Corp.,6.88,17.1%,N/A,N/A,N/A,N/A,N/A,N/A,Technology,Electrical Products,36.9%,24.7%,17.8%,-11.1%
IG,"IGI Laboratories, Inc.",1.01,-54.7%,N/A,N/A,N/A,-0.95,-0.092,-0.03,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-50.6%,-62.3%,-78.5%,-27.2%
IMUC,"ImmunoCellular Therapeutics, Ltd.",2.13,-31496.7%,N/A,N/A,N/A,-7.98,-0.804,0.07,Consumer Durables,Major Pharmaceuticals,-30410.0%,-42550.0%,-21530.0%,N/A
IMH,"Impac Mortgage Holdings, Inc.",14.70,N/A,N/A,N/A,N/A,N/A,N/A,-702.59,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
IMO,Imperial Oil Limited,43.02,6.8%,3.09,20.9,4.8%,13.91,2.678,-12.87,Energy,Integrated oil Companies,8.4%,5.0%,-0.8%,14.7%
IOT,Income Opportunity Realty Trust,3.21,N/A,N/A,N/A,N/A,N/A,N/A,-8.12,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
IGC,India Globalization Capital Inc.,0.16,-44.5%,N/A,N/A,N/A,-1.23,-0.108,-0.15,Basic Industries,Military/Government/Technical,-111.4%,22.5%,N/A,-70.6%
INV,Innovaro Inc,0.37,-7.0%,N/A,N/A,N/A,-0.91,-0.031,-0.61,Consumer Services,Professional Services,-4.7%,-63.1%,-117.3%,157.0%
IHT,InnSuites Hospitality Trust,2.19,N/A,N/A,N/A,N/A,N/A,N/A,-2.75,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
INO,"Inovio Pharmaceuticals, Inc.",0.54,-704.9%,N/A,N/A,N/A,-1.01,-0.113,0.12,Health Care,Medical/Dental Instruments,-960.7%,-573.1%,-872.9%,-413.0%
IFMI,"Institutional Financial Markets, Inc.",1.60,N/A,N/A,N/A,N/A,N/A,N/A,-16.38,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
