Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
Ratio
(dB)","Total
Diff.
(dB)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
CNAM,"China Armco Metals, Inc.",0.4,-10.2897158108,None,None,None,-238.740359024,-23.6455568368,-2.28479065605,Consumer Durables,Steel/Iron Ore,0.095295,0.095295,0.106216,0.106216,0.0,0.0,0.0,0.321159010193,-0.381359017139,-1.31445270988,-39.7842105263
CBP,China Botanic Pharmaceutical Inc.,0.44,4.12672762082,0.00908292893487,0.0629898844029,15.8755649336,48.4425236788,4.83068077021,0.135715976697,Consumer Durables,Major Pharmaceuticals,0.109896,0.109896,0.072713,0.072714,0.0,-5.97268020258e-05,5.97268020258e-05,6.69956248291,6.62734970364,3.68314997105,-0.503151674327
CHGS,"China GengSheng Minerals, Inc.",0.4,-0.0587001097076,None,None,None,-3.59254911782,-0.0999671980434,-2.59287713739,Consumer Durables,Miscellaneous manufacturing industries,0.147969,0.14797,0.076935,0.076936,-2.93502702858e-05,-5.6449166108e-05,8.57994363938e-05,-0.19138805035,-0.370620731988,-0.247886816905,0.575095160413
CMFO,China Marine Food Group Limited,0.92,0.371640321211,0.210916508375,2.57833865292,0.387846646471,4.36191556122,0.463766183912,-0.275746277896,Consumer Non-Durables,Packaged Foods,0.138891,0.138891,0.143947,0.143948,0.0,-3.01703386237e-05,3.01703386237e-05,-0.357440116138,-0.267736533631,0.722814498934,1.38892343568
CNR,China Metro-Rural Holdings Limited,0.88,-0.197935494928,None,None,None,-3.15156830248,-0.0455949521277,-2.6956187812,Finance,Real Estate,0.409051,0.409052,0.117484,0.117693,-1.06171101172e-05,-0.00771908567701,0.00772970278712,-0.452048264823,0.0561772749665,None,None
CPHI,"China Pharma Holdings, Inc.",0.28,0.938456779361,0.154742585029,2.48660796166,0.402154266141,1.8094566531,0.203564068705,-0.22618403395,Consumer Durables,Major Pharmaceuticals,0.15639,0.156391,0.074388,0.081167,-2.77698761691e-05,-0.378766119784,0.37879388966,1.05471989413,1.38166399267,0.903527551393,0.41391567925
SHZ,"China Shen Zhou Mining & Resources, Inc.",0.355,-0.139196882972,None,None,None,-2.49101247937,-0.221589871362,-0.275113765753,Basic Industries,Precious Metals,0.085316,0.085316,0.030551,0.030551,0.0,0.0,0.0,-0.156637600848,-0.18181758343,-0.104105204564,-0.114227143046
CRC,"Chromcraft Revington, Inc.",0.5397,-0.185623832527,None,None,None,-13.7343826019,-1.22002496459,-1.53413295603,Consumer Durables,Home Furnishings,0.030822,0.030822,0.055266,0.055266,0.0,0.0,0.0,-0.21373486073,-0.0828775101337,-0.194236047575,-0.251646911668
MBA,CIBT Education Group Inc.,0.2199,-0.249426421911,None,None,None,-0.426520145384,-0.0207440847943,-0.219079297441,Consumer Services,Other Consumer Services,0.04116,0.042093,0.058575,0.059902,-0.0973451325743,-0.0972902552872,0.194635387861,-0.734585400425,-0.144764294203,0.421510840108,-0.539866833125
CKX,"CKX Lands, Inc.",13.97,None,None,None,None,None,None,2.20695548766,Energy,Oil & Gas Production,0.010994,0.010995,0.001984,0.001985,-0.000395010670974,-0.00218843280974,0.00258344348071,None,None,None,None
CGR,"Claude Resources, Inc.",0.572,None,None,None,None,None,None,0.00405765755263,Basic Industries,Precious Metals,0.207887,0.204161,0.069659,0.068411,0.0785454775931,0.0785129680423,0.157058445635,None,-0.0706430693888,-0.0884403888388,-0.123096220077
CRV,"Coast Distribution System, Inc. (The)",1.8,0.238973314449,0.532107614248,7.40879621995,0.134974693636,3.38277437083,0.610825896061,-2.72548458978,Capital Goods,Automotive Aftermarket,0.047835,0.047736,0.108195,0.108195,0.00899753462599,0.0,0.00899753462599,-0.174291742013,-0.185451032843,0.677651429005,0.637984603648
MOC,Command Security Corporation,1.58,None,None,None,None,None,None,None,Consumer Services,Diversified Commercial Services,None,0.033042,None,0.141558,None,None,None,None,None,None,None
BTC,Community Bankers Trust Corporation.,2.46,None,None,None,None,None,None,None,Finance,Major Banks,1.092496,1.092496,None,0.051084,0.0,None,None,None,None,None,None
CIX,CompX International Inc.,13.12,0.0109608877237,None,112.897451493,0.0088575958693,-2.27518448548,0.149616771476,-3.77135220024,Capital Goods,Industrial Machinery/Components,0.141526,0.141526,0.138835,0.138835,0.0,0.0,0.0,0.0319569019011,0.00845288602707,-0.0254796393625,0.028913402329
LODE,"Comstock Mining, Inc.",2.19,-1.72926030267,None,None,None,-6.10036483509,-0.607258737679,-0.0277774582987,Basic Industries,Precious Metals,0.026974,0.026974,0.000473,0.000473,0.0,0.0,0.0,-2.27977319204,-1.79574559519,-1.2824212272,-1.55910119625
CTO,Consolidated-Tomoka Land Co.,30.82,None,None,None,None,None,None,-10.4798863973,Finance,Real Estate,0.177218,0.170266,0.014432,0.005207,0.173798975827,4.42738942522,4.60118840105,None,None,None,None
CEP,"Constellation Energy Partners, LLC",1.25,-0.0129663456182,None,None,None,-8.11239443122,-0.431625521629,-3.79613921493,Energy,Oil & Gas Production,0.334306,0.334306,0.061952,0.144639,0.0,-3.6823007924,3.6823007924,0.0129832129287,-0.0488891281271,-0.027507141103,0.0115476738287
MCF,Contango Oil & Gas Company,40.84,0.187137993672,0.594061231039,6.05515750134,0.165148470503,68.7471221251,7.07433113858,-1.99618926075,Energy,Oil & Gas Production,0.624654,0.624654,0.179272,0.179272,0.0,0.0,0.0,0.0924847611026,0.218065650071,0.24429013177,0.193711431743
CUO,Continental Materials Corporation,11.04,-0.0825727268904,None,None,None,-69.1170536112,-5.33761576314,-15.7408959798,Capital Goods,Building Materials,0.075871,0.075871,0.107206,0.107206,0.0,0.0,0.0,-0.115151802657,-0.0759154397886,-0.0416511539643,-0.0975725111521
CMT,Core Molding Technologies Inc,6.95,0.0542077874838,4.2228874756,17.6350006086,0.0567054134102,1.64579332037,0.694722495983,-5.30143163946,Consumer Non-Durables,Plastic Products,0.093298,0.093298,0.143421,0.143421,0.0,0.0,0.0,0.105565583275,0.0225419370638,0.0215784354592,0.0671451941375
CRMD,CorMedix Inc,0.72,None,None,None,None,None,None,0.0583786819987,Consumer Durables,Major Pharmaceuticals,0.002556,0.002556,0.0,None,0.0,None,None,None,-80.712244898,-43.9163265306,None
COVR,Cover-All Technologies Inc.,1.08,5.98903989111,0.266903938497,2.68691503032,0.372174031822,4.04639963756,0.405629040256,-0.00989076500045,Technology,Computer Software: Prepackaged Software,0.020458,0.020458,0.017595,0.017596,0.0,-0.000246821336149,0.000246821336149,3.36966527197,9.775,1.81492776886,8.99656652361
CVU,"CPI Aerostructures, Inc.",9.68,-1.17632711753,None,None,None,-10.7618493361,-0.66874941191,-4.07435521698,Capital Goods,Military/Government/Technical,0.08894,0.08894,0.074135,0.074136,0.0,-5.85811766161e-05,5.85811766161e-05,-3.27431743174,-1.45263879369,0.849046920821,-0.827399165508
EXE,"Crexendo, Inc.",2.5801,1.06401146121,0.264754637465,3.2821537699,0.304677985892,9.74524950614,1.06658432788,-0.920593772673,Technology,EDP Services,0.033792,0.03306,0.048024,0.048024,0.0951104728227,0.0,0.0951104728227,0.292211084226,0.0204283360791,0.709243697479,3.23416272705
CXZ,Crosshair Energy Corp,0.13,-0.419059835191,None,None,None,-0.69103295532,-0.0762602491981,0.0715695366608,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0.017997,0.045422,0.0,None,-4.02066136297,None,None,-1.01244326778,-0.192152788876,-0.201869313482,-0.269773970631
CRVP,"Crystal Rock Holdings, Inc.",0.932,0.212014432927,0.681714910524,8.50964152102,0.117513763362,1.36714040666,0.291970296272,-1.55256255606,Consumer Non-Durables,Food Distributors,0.060683,0.060684,0.071609,0.07161,-7.15671445968e-05,-6.0647607078e-05,0.000132214751675,0.131289329227,0.310943473512,0.252860902622,0.152964026347
CTP,CTPartners Executive Search Inc.,4.1153,0.185654081369,2.87990181365,19.9516308231,0.0501212160984,1.42897232833,0.269938437169,-1.27041204337,Technology,Diversified Commercial Services,0.05554,0.05554,0.126118,0.126119,0.0,-3.44354303218e-05,3.44354303218e-05,-0.07113997114,0.665439029868,-0.0373368146214,None
QBC,Cubic Energy Inc,0.26,-0.174229033547,None,None,None,-1.40548911392,-0.076644981129,-0.639039302627,Energy,Oil & Gas Production,0.030539,0.030539,0.006939,0.00694,0.0,-0.000625829645731,0.000625829645731,-0.115447630193,-0.271085942705,-0.140975726989,-0.1694068343
DXR,Daxor Corporation,7.76,-0.872269722768,None,None,None,-11.5994353537,-1.31140805787,1.51464522504,Health Care,Medical/Dental Instruments,0.085724,0.085725,0.001446,0.001446,-5.06616523756e-05,0.0,5.06616523756e-05,-1.983912692,-0.486352232815,-1.0591886608,0.0403746945425
DEJ,Dejour Energy Inc.,0.1999,None,None,None,None,None,None,-0.0714763575965,Energy,Oil & Gas Production,0.029438,0.028911,0.007196,0.008666,0.0784518725849,-0.807275300248,0.885727172833,None,None,-0.124655973203,-0.229096632751
DLA,"Delta Apparel, Inc.",14.56,0.0281659353323,None,103.973520297,0.00961783343623,-18.5123204574,0.351932335329,-22.0316438107,Consumer Non-Durables,Apparel,0.322723,0.320394,0.489923,0.475236,0.0314554356396,0.13218496566,0.163640401299,-0.375735331652,-0.010366125507,0.331973189087,0.166792009401
DNN,Denison Mine Corp,1.09,-0.119948935504,None,None,None,-1.33651288777,-0.13465513153,0.0100384275275,Basic Industries,Precious Metals,0.513692,0.504486,0.095772,0.0968,0.0785368365075,-0.046368004523,0.124904841031,-0.125470959873,-0.054718932025,-0.198025750162,-0.101580099956
DGSE,"DGSE Companies, Inc.",5.71,-0.763924324834,None,None,None,-5.12649384759,-0.423134171361,-0.895152133976,Consumer Services,Consumer Specialties,0.03026,0.027649,0.082567,0.149627,0.391894951834,-2.58203463311,2.97392958494,-0.489963724305,0.148264729621,-0.0897080838323,-2.62429022082
DPW,Digital Power Corporation,0.68,0.230184128587,1.01869029738,10.1705592998,0.0983230096323,0.667523782007,0.0731488579512,-0.0639647975055,Capital Goods,Industrial Machinery/Components,0.007349,0.007349,0.011231,0.011231,0.0,0.0,0.0,0.360615545123,-0.306562668101,0.195021511985,0.671662125341
DSS,"Document Security Systems, Inc.",2.71,-0.889416261444,None,None,None,-2.78127267973,-0.247697847344,-0.304294206289,Technology,EDP Services,0.012822,0.012822,0.013383,0.013384,0.0,-0.00032449993059,0.00032449993059,-0.657160342717,-0.833164983165,-0.77667238422,-1.29066733567
ESTE,"Earthstone Energy, Inc.",14.74,-0.000699060897501,None,None,None,-1.96710158075,-0.0170752162605,-1.79634941815,Energy,Oil & Gas Production,0.028217,0.026206,0.011712,0.011712,0.321101014824,0.0,0.321101014824,0.0514725791208,-0.0216413777827,-0.0168979977556,-0.0157294471725
